name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
PINERIDGE,PIN,1971,62,17,3.65,
DOWNTOWN EAST VILLAGE,DNE,2017,3480,1624,2.14,
BANKVIEW,BNK,2013,5256,3281,1.6,
CRESCENT HEIGHTS,CRE,2011,5895,3236,1.82,
WESTGATE,WGT,1993,3469,1318,2.63,
WEST HILLHURST,WHL,2012,5802,2593,2.24,
MOUNT PLEASANT,MOP,2003,4805,2279,2.11,
CHAPARRAL,CHA,2002,4867,1618,3.01,
QUEENS PARK VILLAGE,QPK,1974,0,0,0,
SILVERADO,SVO,2016,6763,2285,2.96,
QUEENS PARK VILLAGE,QPK,1969,0,0,0,
ERIN WOODS,ERI,1977,0,0,0,
MAYFAIR,MAF,1994,563,186,3.03,
CHINOOK PARK,CHK,1979,2005,582,3.45,
NORTH GLENMORE PARK,NGM,2013,2342,941,2.49,
ROYAL OAK,ROY,2013,11075,3831,2.89,
PARKDALE,PKD,2015,2393,925,2.59,
HARVEST HILLS,HAR,1996,2788,967,2.88,
MAPLE RIDGE,MPL,1981,2923,801,3.65,
ALBERT PARK/RADISSON HEIGHTS,ALB,2005,6031,2409,2.5,
PARKLAND,PKL,1998,4377,1351,3.24,
CRESCENT HEIGHTS,CRE,2007,6118,3398,1.8,
SOMERSET,SOM,1980,12,5,2.4,
MAYLAND HEIGHTS,MAL,2000,6127,2513,2.44,
PENBROOKE MEADOWS,PEN,2009,8199,2838,2.89,
HUNTINGTON HILLS,HUN,1982,15619,4623,3.38,
MEADOWLARK PARK,MEA,1998,663,293,2.26,
BRIDLEWOOD,BRI,1978,0,0,0,
VISTA HEIGHTS,VIS,2000,2308,752,3.07,
BRITANNIA,BRT,1973,993,315,3.15,
ROSSCARROCK,RCK,2016,3639,1547,2.35,
KINGSLAND,KIN,2017,4667,2238,2.09,
RUTLAND PARK,RUT,1969,1890,465,4.06,
HAMPTONS,HAM,2001,6548,1958,3.34,
DOWNTOWN WEST END,DNW,1997,469,294,1.6,
BRIDGELAND/RIVERSIDE,BRD,2005,4514,2168,2.08,
ELBOW PARK,EPK,2017,3360,1130,2.97,
PUMP HILL,PUM,2016,1671,545,3.07,
PATTERSON,PAT,1984,355,165,2.15,
SAGE HILL,SGH,2016,5493,1984,2.77,
PATTERSON,PAT,1991,1108,495,2.24,
CHINOOK PARK,CHK,1982,1943,581,3.34,
MILLRISE,MLR,1972,57,16,3.56,
MAPLE RIDGE,MPL,1970,3425,786,4.36,
MOUNT PLEASANT,MOP,1984,4463,2139,2.09,
HUNTINGTON HILLS,HUN,1981,15429,4571,3.38,
MANCHESTER,MAN,1984,235,137,1.72,
SPRUCE CLIFF,SPR,1989,3192,1363,2.34,
APPLEWOOD PARK,APP,2012,6498,2026,3.21,
SPRUCE CLIFF,SPR,1982,3368,1340,2.51,
LOWER MOUNT ROYAL,LMR,2011,2981,2007,1.49,
VALLEY RIDGE,VAL,2008,5011,1684,2.98,
ROSSCARROCK,RCK,1996,3384,1434,2.36,
MAYLAND HEIGHTS,MAL,1972,6343,1609,3.94,
DISCOVERY RIDGE,DIS,2006,3105,1088,2.85,
BEDDINGTON HEIGHTS,BED,1981,8441,2732,3.09,
UNIVERSITY OF CALGARY,UOC,1983,1428,248,5.76,
ROXBORO,ROX,1970,512,168,3.05,
WALDEN,WAL,1974,0,0,0,
THORNCLIFFE,THO,2015,8931,3681,2.43,
LOWER MOUNT ROYAL,LMR,1974,3140,1771,1.77,
OAKRIDGE,OAK,1996,6731,2268,2.97,
GREENVIEW,GRV,1985,2186,907,2.41,
WINDSOR PARK,WND,1988,3515,2045,1.72,
BANFF TRAIL,BNF,1975,3988,1437,2.78,
CRESCENT HEIGHTS,CRE,1974,5531,2547,2.17,
SHAWNEE SLOPES,SHS,1976,26,8,3.25,
VARSITY,VAR,2008,12099,5285,2.29,
KILLARNEY/GLENGARRY,KIL,1968,7671,2347,3.27,
RED CARPET,RED,1970,16,3,5.33,
BOWNESS,BOW,2008,11308,4957,2.28,
FAIRVIEW,FAI,2014,3837,1572,2.44,
MONTEREY PARK,MOR,1990,1779,577,3.08,
COACH HILL,COA,2004,3225,1405,2.3,
VISTA HEIGHTS,VIS,1988,2173,699,3.11,
EDGEMONT,EDG,1970,0,0,0,
PARKDALE,PKD,1982,1965,794,2.47,
HIGHLAND PARK,HPK,1980,3975,1684,2.36,
ALBERT PARK/RADISSON HEIGHTS,ALB,1978,4574,1456,3.14,
CHINOOK PARK,CHK,1985,1807,575,3.14,
PALLISER,PAL,1997,3302,1613,2.05,
ROSEMONT,RMT,1993,1273,531,2.4,
CHRISTIE PARK,CHR,1979,27,9,3,
NORTH HAVEN,NHV,1984,2582,846,3.05,
ALTADORE,ALT,2010,8847,4026,2.2,
COACH HILL,COA,1971,40,10,4,
COUNTRY HILLS,COU,1975,0,0,0,
ROSEMONT,RMT,2001,1294,531,2.44,
CRESCENT HEIGHTS,CRE,1979,5122,2653,1.93,
ROYAL OAK,ROY,2004,3999,1385,2.89,
DEER RUN,DRN,1993,6566,2052,3.2,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1993,2678,899,2.98,
KINGSLAND,KIN,2001,4538,2313,1.96,
ALBERT PARK/RADISSON HEIGHTS,ALB,1969,4354,1093,3.98,
ERIN WOODS,ERI,1993,5560,1679,3.31,
SHAWNESSY,SHN,1977,0,0,0,
VARSITY,VAR,2010,12130,5328,2.28,
HAWKWOOD,HAW,1980,0,0,0,
WOODLANDS,WOO,1972,85,5,17,
SOUTHWOOD,SOW,2004,6219,2526,2.46,
SIGNAL HILL,SIG,1999,10423,3838,2.72,
CORAL SPRINGS,COR,2017,5792,1525,3.8,
SOMERSET,SOM,2006,8393,3098,2.71,
CAPITOL HILL,CAP,2008,4058,2024,2,
INGLEWOOD,ING,1978,2692,1115,2.41,
SUNNYSIDE,SSD,1976,3619,1913,1.89,
GLENDALE,GDL,2003,2785,1087,2.56,
CAPITOL HILL,CAP,2003,4002,2003,2,
ST. ANDREWS HEIGHTS,STA,1969,2273,504,4.51,
HUNTINGTON HILLS,HUN,1978,15301,4367,3.5,
GLENDALE,GDL,1969,3950,954,4.14,
SCENIC ACRES,SCE,1985,1024,299,3.42,
TUXEDO PARK,TUX,1990,4195,2090,2.01,
ROSEDALE,RDL,2002,1651,611,2.7,
SHAGANAPPI,SHG,1987,1681,784,2.14,
SOMERSET,SOM,2010,8496,3068,2.77,
WHITEHORN,WHI,2010,11595,3522,3.29,
TUXEDO PARK,TUX,2004,4434,2302,1.93,
APPLEWOOD PARK,APP,1982,0,0,0,
COPPERFIELD,CPF,1997,0,0,0,
COUGAR RIDGE,CGR,1968,0,0,0,
RICHMOND,RIC,1997,3906,1879,2.08,
SOMERSET,SOM,2017,8546,3067,2.79,
SHAGANAPPI,SHG,2007,1596,770,2.07,
RANCHLANDS,RAN,1976,11,4,2.75,
CLIFF BUNGALOW,CLI,1978,1814,1087,1.67,
SCARBORO/ SUNALTA WEST,SSW,1998,405,161,2.52,
PENBROOKE MEADOWS,PEN,1988,9614,2750,3.5,
SETON,SET,1988,0,0,0,
TUSCANY,TUS,2017,19659,6455,3.05,
NEW BRIGHTON,NEB,1968,0,0,0,
TUSCANY,TUS,2016,19662,6400,3.07,
DISCOVERY RIDGE,DIS,1999,21,6,3.5,
GREENVIEW,GRV,1998,2270,1070,2.12,
PENBROOKE MEADOWS,PEN,1995,9476,2799,3.39,
SCENIC ACRES,SCE,2001,9490,2853,3.33,
BRENTWOOD,BRE,1999,6452,2505,2.58,
CRANSTON,CRA,1968,0,0,0,
COUGAR RIDGE,CGR,1994,14,5,2.8,
GLENBROOK,GBK,2004,6637,2935,2.26,
VALLEY RIDGE,VAL,2014,5518,1868,2.95,
CITADEL,CIT,1982,0,0,0,
CURRIE BARRACKS,CUR,1976,0,,,
HIGHWOOD,HIW,1971,3250,848,3.83,
CITYSCAPE,CSC,1981,0,0,0,
CRESCENT HEIGHTS,CRE,1995,5446,3194,1.71,
CORAL SPRINGS,COR,1971,0,0,0,
CHRISTIE PARK,CHR,1995,1900,607,3.13,
ROSEMONT,RMT,1996,1258,524,2.4,
MOUNT PLEASANT,MOP,2008,4886,2317,2.11,
CASTLERIDGE,CAS,2000,6389,1812,3.53,
WILDWOOD,WLD,1982,3123,1047,2.98,
DALHOUSIE,DAL,2016,9111,3557,2.56,
SUNALTA,SNA,1995,2791,1819,1.53,
CHARLESWOOD/COLLINGWOOD,,2000,6057,2425,2.5,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
SOMERSET,SOM,1995,344,120,2.87,
MEADOWLARK PARK,MEA,2007,626,262,2.39,
MOUNT PLEASANT,MOP,1999,4751,2277,2.09,
DEER RUN,DRN,1977,0,0,0,
MEADOWLARK PARK,MEA,1981,841,294,2.86,
MACEWAN GLEN,MAC,1979,0,0,0,
EVANSTON,EVN,2004,682,249,2.74,
WILDWOOD,WLD,1988,2777,1043,2.66,
MCKENZIE TOWNE,MCT,2000,2161,833,2.59,
SCENIC ACRES,SCE,1973,0,0,0,
HUNTINGTON HILLS,HUN,1971,6505,1612,4.04,
ELBOW PARK,EPK,2010,3447,1133,3.04,
BANKVIEW,BNK,1995,4813,2985,1.61,
ROCKY RIDGE,ROC,1968,0,0,0,
ROYAL OAK,ROY,1985,0,0,0,
SHAGANAPPI,SHG,1988,1687,782,2.16,
SOUTHWOOD,SOW,1994,6536,2509,2.61,
STRATHCONA PARK,STR,1977,0,0,0,
SUNDANCE,SDC,1994,10675,2966,3.6,
SHAWNEE SLOPES,SHS,1991,1258,413,3.05,
SKYVIEW RANCH,SKR,1991,0,0,0,
KELVIN GROVE,KEL,1985,2150,791,2.72,
CRESCENT HEIGHTS,CRE,2009,6113,3334,1.83,
LEGACY,LEG,1980,0,0,0,
TUSCANY,TUS,1975,0,0,0,
SAGE HILL,SGH,1975,0,0,0,
POINT MCKAY,POI,1979,236,112,2.11,
SOUTHWOOD,SOW,1976,7268,2013,3.61,
GLENDALE,GDL,1980,3003,965,3.11,
DEER RIDGE,DRG,1979,398,127,3.13,
COUNTRY HILLS VILLAGE,CHV,2008,1865,992,1.88,
AUBURN BAY,AUB,1975,0,0,0,
LINCOLN PARK,LPK,2011,2501,1335,1.87,
COUGAR RIDGE,CGR,1986,0,0,0,
CORAL SPRINGS,COR,2013,5967,1492,4,
ROYAL OAK,ROY,2014,11650,4010,2.91,
RAMSAY,RAM,1989,2172,1006,2.16,
MOUNT PLEASANT,MOP,1974,5162,2077,2.49,
MACEWAN GLEN,MAC,1987,1981,644,3.08,
FOREST HEIGHTS,FHT,2005,6230,2053,3.03,
ERLTON,ERL,2010,1248,706,1.77,
SILVERADO,SVO,1989,0,0,0,
SADDLE RIDGE,SAD,1972,254,60,4.23,
INGLEWOOD,ING,1981,2908,1245,2.34,
PARKLAND,PKL,1971,0,0,0,
HIGHLAND PARK,HPK,2011,3539,1828,1.94,
FOREST LAWN,FLN,2004,7535,2872,2.62,
LEGACY,LEG,2009,16,5,3.2,
KILLARNEY/GLENGARRY,KIL,1972,7059,2383,2.96,
WOODLANDS,WOO,1981,3766,1186,3.18,
NEW BRIGHTON,NEB,2004,743,265,2.8,
HILLHURST,HIL,1990,4796,2464,1.95,
ST. ANDREWS HEIGHTS,STA,1972,2277,595,3.83,
CORNERSTONE,CNS,1999,0,0,0,
ARBOUR LAKE,ARB,2009,10727,3826,2.8,
PATTERSON,PAT,2012,4281,1972,2.17,
TUSCANY,TUS,1992,43,15,2.87,
WILDWOOD,WLD,1991,2702,1042,2.59,
DISCOVERY RIDGE,DIS,2010,4333,1613,2.69,
CASTLERIDGE,CAS,1992,6426,1766,3.64,
EAGLE RIDGE,EAG,2002,426,106,4.02,
UNIVERSITY OF CALGARY,UOC,2012,2725,854,3.19,
EVERGREEN,EVE,1991,291,85,3.42,
NOLAN HILL,NOL,1972,0,0,0,
MIDNAPORE,MID,1978,1673,517,3.24,
SANDSTONE VALLEY,SAN,2005,6653,2085,3.19,
ARBOUR LAKE,ARB,1978,0,0,0,
COUGAR RIDGE,CGR,2003,1164,437,2.66,
MEADOWLARK PARK,MEA,1969,1186,299,3.97,
CASTLERIDGE,CAS,1987,5655,1648,3.43,
CAMBRIAN HEIGHTS,CAM,1992,2122,878,2.42,
SUNNYSIDE,SSD,1970,3294,1299,2.54,
BRAESIDE,BRA,2004,6208,2476,2.51,
CURRIE BARRACKS,CUR,1994,0,,,
CLIFF BUNGALOW,CLI,1997,2097,1314,1.6,
ALBERT PARK/RADISSON HEIGHTS,ALB,1998,6685,2440,2.74,
WHITEHORN,WHI,2015,12421,3712,3.35,
SHERWOOD,SHW,2005,188,52,3.62,
TEMPLE,TEM,1974,0,0,0,
RAMSAY,RAM,2010,2015,1026,1.96,
BRIDGELAND/RIVERSIDE,BRD,1986,4588,2297,2,
SOMERSET,SOM,1972,0,0,0,
PUMP HILL,PUM,1976,276,41,6.73,
INGLEWOOD,ING,1983,2613,1171,2.23,
SHAWNESSY,SHN,1998,8167,2522,3.24,
BAYVIEW,BYV,2008,637,243,2.62,
DOWNTOWN COMMERCIAL CORE,DNC,1983,5612,3987,1.41,
NORTH HAVEN UPPER,NHU,1999,710,244,2.91,
MARLBOROUGH,MRL,2016,8784,3013,2.92,
VISTA HEIGHTS,VIS,2016,2286,801,2.85,
ROSEDALE,RDL,1995,1617,631,2.56,
MIDNAPORE,MID,1981,6037,1874,3.22,
HILLHURST,HIL,1978,4967,2348,2.12,
CHINOOK PARK,CHK,2015,1702,580,2.93,
MILLRISE,MLR,1989,2855,916,3.12,
LEGACY,LEG,2007,0,0,0,
UNIVERSITY DISTRICT,UND,2011,0,0,0,
BEDDINGTON HEIGHTS,BED,1992,13236,4084,3.24,
BEDDINGTON HEIGHTS,BED,1980,4134,1395,2.96,
SPRINGBANK HILL,SPH,1980,0,0,0,
FAIRVIEW,FAI,1987,4098,1522,2.69,
ROCKY RIDGE,ROC,2015,8229,3006,2.74,
BELVEDERE,BVD,1968,0,0,0,
MARLBOROUGH,MRL,1974,8058,2149,3.75,
PUMP HILL,PUM,1995,1910,664,2.88,
PATTERSON,PAT,1996,2636,1141,2.31,
MACEWAN GLEN,MAC,1973,0,0,0,
GARRISON WOODS,GAW,1970,0,0,0,
WINDSOR PARK,WND,2016,4351,2300,1.89,
ASPEN WOODS,ASP,1997,153,50,3.06,
HAWKWOOD,HAW,1969,0,0,0,
CORNERSTONE,CNS,2006,0,0,0,
BRITANNIA,BRT,1982,816,315,2.59,
SAGE HILL,SGH,1997,79,25,3.16,
GARRISON WOODS,GAW,1993,0,0,0,
BRAESIDE,BRA,1991,6974,2432,2.87,
VISTA HEIGHTS,VIS,1982,1779,537,3.31,
ARBOUR LAKE,ARB,2015,10947,3879,2.82,
MCKENZIE LAKE,MCK,1979,0,0,0,
MAYFAIR,MAF,1975,718,186,3.86,
FAIRVIEW,FAI,1991,3925,1502,2.61,
ROSEDALE,RDL,1994,1597,635,2.51,
ARBOUR LAKE,ARB,2017,10713,3858,2.78,
LINCOLN PARK,LPK,1977,54,7,7.71,
LAKEVIEW,LKV,1989,6068,2317,2.62,
UNIVERSITY HEIGHTS,UNI,1994,2898,1285,2.26,
CITYSCAPE,CSC,1998,0,0,0,
BANFF TRAIL,BNF,1969,4824,1472,3.28,
UNIVERSITY HEIGHTS,UNI,2011,2890,1315,2.2,
CHINOOK PARK,CHK,1986,1803,573,3.15,
PARKHILL,PKH,2009,1561,769,2.03,
BELVEDERE,BVD,1974,0,0,0,
DOUGLASDALE/GLEN,DDG,1981,0,0,0,
AUBURN BAY,AUB,1989,0,0,0,
CITADEL,CIT,2004,10008,3440,2.91,
ACADIA,ACA,2005,10575,4784,2.21,
BEDDINGTON HEIGHTS,BED,1977,0,0,0,
CITYSCAPE,CSC,1979,0,0,0,
RED CARPET,RED,1997,1263,500,2.53,
CRANSTON,CRA,1980,0,0,0,
HARVEST HILLS,HAR,2008,7409,2518,2.94,
KILLARNEY/GLENGARRY,KIL,1991,5677,2689,2.11,
CEDARBRAE,CED,1976,2404,705,3.41,
FALCONRIDGE,FAL,1984,8497,2622,3.24,
AUBURN BAY,AUB,1983,0,0,0,
ERIN WOODS,ERI,1979,0,0,0,
PARKDALE,PKD,1999,1740,816,2.13,
SUNNYSIDE,SSD,1969,3280,1251,2.62,
OGDEN,OGD,1980,10576,3442,3.07,
WEST HILLHURST,WHL,2002,5477,2589,2.12,
COPPERFIELD,CPF,1985,0,0,0,
GLENBROOK,GBK,1975,5919,1806,3.28,
EDGEMONT,EDG,1989,9989,2940,3.4,
PARKLAND,PKL,2017,3685,1424,2.59,
MAYFAIR,MAF,1972,753,184,4.09,
EAGLE RIDGE,EAG,1973,591,98,6.03,
MIDNAPORE,MID,2008,7143,2617,2.73,
LINCOLN PARK,LPK,2005,2441,1330,1.84,
WINSTON HEIGHTS/MOUNTVIEW,WIN,2003,3624,1674,2.16,
ARBOUR LAKE,ARB,1976,0,0,0,
VARSITY,VAR,2006,12158,5297,2.3,
SHAWNESSY,SHN,2005,9621,3244,2.97,
DOWNTOWN COMMERCIAL CORE,DNC,2010,7568,4318,1.75,
SHERWOOD,SHW,2008,1400,404,3.47,
ACADIA,ACA,2002,11090,4880,2.27,
DOUGLASDALE/GLEN,DDG,2009,11749,3913,3,
GLENDALE,GDL,1989,2746,1060,2.59,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1982,4108,1571,2.61,
SCARBORO/ SUNALTA WEST,SSW,1971,567,164,3.46,
EDGEMONT,EDG,2013,16027,5329,3.01,
COUGAR RIDGE,CGR,2016,7015,2177,3.22,
BELTLINE,BLN,2015,21939,13441,1.63,
PENBROOKE MEADOWS,PEN,1991,9720,2745,3.54,
HARVEST HILLS,HAR,2000,7161,2461,2.91,
GARRISON GREEN,GAG,2015,2031,680,2.99,At this time community was referred to as CFB - LINCOLN PARK PMQ (CFL)
RUTLAND PARK,RUT,1983,2719,883,3.08,
LAKE BONAVISTA,LKB,2013,10552,4004,2.64,
NOLAN HILL,NOL,2011,0,0,0,
TARADALE,TAR,2001,2397,751,3.19,
RUNDLE,RUN,1979,9333,2673,3.49,
HIGHLAND PARK,HPK,1986,3644,1752,2.08,
CHARLESWOOD/COLLINGWOOD,,1977,7971,2367,3.37,Data from community of Triwood
NORTH HAVEN,NHV,2006,2346,940,2.5,
SHAWNESSY,SHN,2011,9315,3232,2.88,
BEDDINGTON HEIGHTS,BED,1993,13013,4057,3.21,
CHARLESWOOD/COLLINGWOOD,,1982,7073,2368,2.99,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
STRATHCONA PARK,STR,2003,6768,2229,3.04,
EAU CLAIRE,EAU,1990,884,494,1.79,
LAKE BONAVISTA,LKB,1985,12731,3627,3.51,
CLIFF BUNGALOW,CLI,1990,1918,1262,1.52,
ROSEMONT,RMT,1992,1268,528,2.4,
GLAMORGAN,GLA,1983,6679,2452,2.72,
CAMBRIAN HEIGHTS,CAM,2008,2015,862,2.34,
COACH HILL,COA,2017,3271,1453,2.25,
SIGNAL HILL,SIG,1973,71,20,3.55,
GLENDALE,GDL,1985,2793,1042,2.68,
TEMPLE,TEM,1991,11993,3416,3.51,
MARLBOROUGH PARK,MPK,1999,9109,2824,3.23,
MONTGOMERY,MON,2006,3713,1569,2.37,
WOODLANDS,WOO,1984,5585,1805,3.09,
SUNNYSIDE,SSD,2014,3848,2287,1.68,
ABBEYDALE,ABB,1998,6736,1945,3.46,
RAMSAY,RAM,1994,2121,1029,2.06,
GLAMORGAN,GLA,1973,6079,1624,3.74,
GARRISON GREEN,GAG,1999,598,212,2.82,At this time community was referred to as CFB - LINCOLN PARK PMQ (CFL)
ROSSCARROCK,RCK,1986,3430,1440,2.38,
SCARBORO/ SUNALTA WEST,SSW,2009,372,156,2.38,
MAYLAND HEIGHTS,MAL,1981,5861,1889,3.1,
RED CARPET,RED,1996,1176,476,2.47,
EVANSTON,EVN,2003,47,13,3.62,
BRIDGELAND/RIVERSIDE,BRD,2009,5150,2576,2,
LAKE BONAVISTA,LKB,1979,13530,3583,3.78,
SETON,SET,2007,0,0,0,
WHITEHORN,WHI,1986,11039,3138,3.52,
PINERIDGE,PIN,1998,10353,3383,3.06,
CRANSTON,CRA,1998,0,0,0,
LEGACY,LEG,1982,0,0,0,
SCARBORO/ SUNALTA WEST,SSW,1970,604,163,3.71,
CLIFF BUNGALOW,CLI,1987,1924,1222,1.57,
ROXBORO,ROX,2016,391,143,2.73,
GARRISON GREEN,GAG,1981,734,214,3.43,
NORTH HAVEN,NHV,1982,2508,777,3.23,
RIVERBEND,RIV,2014,9696,3416,2.84,
WILDWOOD,WLD,2000,2730,1033,2.64,
NEW BRIGHTON,NEB,1994,0,0,0,
PINERIDGE,PIN,2009,9808,3619,2.71,
EAU CLAIRE,EAU,1992,965,612,1.58,
SADDLE RIDGE,SAD,2004,4138,1275,3.25,
TUSCANY,TUS,1969,0,0,0,
CRANSTON,CRA,2007,6515,2382,2.74,
WINSTON HEIGHTS/MOUNTVIEW,WIN,2008,3641,1692,2.15,
ELBOYA,EYA,2002,1717,746,2.3,
CAPITOL HILL,CAP,2010,4061,2028,2,
MIDNAPORE,MID,2013,6979,2680,2.6,
UNIVERSITY OF CALGARY,UOC,2008,2242,628,3.57,
PENBROOKE MEADOWS,PEN,1986,9085,2623,3.46,
NEW BRIGHTON,NEB,1985,0,0,0,
UPPER MOUNT ROYAL,UMR,1981,2803,1013,2.77,
MARTINDALE,MRT,1969,0,0,0,
ASPEN WOODS,ASP,1986,0,0,0,
ALBERT PARK/RADISSON HEIGHTS,ALB,2013,6094,2545,2.39,
TEMPLE,TEM,1973,0,0,0,
SCARBORO/ SUNALTA WEST,SSW,1980,452,162,2.79,
MONTEREY PARK,MOR,1971,0,0,0,
TEMPLE,TEM,1979,2879,923,3.12,
BEDDINGTON HEIGHTS,BED,1999,13019,4173,3.12,
EAU CLAIRE,EAU,1981,497,315,1.58,
WESTGATE,WGT,1977,3482,1000,3.48,
MACEWAN GLEN,MAC,2016,4932,1760,2.8,
CHARLESWOOD/COLLINGWOOD,,1968,9721,2327,4.18,Data from community of Triwood
ACADIA,ACA,1974,13142,3481,3.78,
CASTLERIDGE,CAS,1971,0,0,0,
SOUTHVIEW,SOV,1995,2203,841,2.62,
SAGE HILL,SGH,2013,2985,1055,2.83,
MAYFAIR,MAF,2007,469,148,3.17,
LINCOLN PARK,LPK,1968,0,0,0,
ALBERT PARK/RADISSON HEIGHTS,ALB,1980,6222,2015,3.09,
CHAPARRAL,CHA,1997,647,207,3.13,
ACADIA,ACA,2003,11022,4868,2.26,
POINT MCKAY,POI,2000,1343,819,1.64,
POINT MCKAY,POI,1999,1323,815,1.62,
WOODLANDS,WOO,2000,7054,2368,2.98,
SUNNYSIDE,SSD,1988,3528,2173,1.62,
WEST SPRINGS,WSP,2009,6654,2188,3.04,
COPPERFIELD,CPF,1993,0,0,0,
NORTH HAVEN UPPER,NHU,2008,643,244,2.64,
DOVER,DOV,1968,162,42,3.86,
SHERWOOD,SHW,1975,0,0,0,
HARVEST HILLS,HAR,1972,0,0,0,
MISSION,MIS,2006,4433,3041,1.46,
BRITANNIA,BRT,1972,1016,311,3.27,
EAU CLAIRE,EAU,2003,1504,908,1.66,
RED CARPET,RED,1982,1160,424,2.74,
WESTGATE,WGT,1992,3490,1302,2.68,
RIDEAU PARK,RID,1971,652,322,2.02,
BAYVIEW,BYV,2000,702,245,2.87,
BAYVIEW,BYV,1985,756,236,3.2,
PINERIDGE,PIN,1991,10501,3361,3.12,
ST. ANDREWS HEIGHTS,STA,2008,1508,591,2.55,
SCARBORO,SCA,2009,874,298,2.93,
PENBROOKE MEADOWS,PEN,1979,9917,2697,3.68,
MISSION,MIS,1994,3405,2364,1.44,
COUNTRY HILLS VILLAGE,CHV,1976,0,0,0,
COACH HILL,COA,1985,2573,1003,2.57,
UNIVERSITY HEIGHTS,UNI,1976,2457,768,3.2,
DOUGLASDALE/GLEN,DDG,1975,0,0,0,
GARRISON WOODS,GAW,2005,0,0,0,
ROSEMONT,RMT,1974,1629,504,3.23,
CLIFF BUNGALOW,CLI,1977,2041,1174,1.74,
QUEENS PARK VILLAGE,QPK,1973,0,0,0,
CAPITOL HILL,CAP,2000,3971,2003,1.98,
MARTINDALE,MRT,1993,4205,1342,3.13,
SETON,SET,1971,0,0,0,
COUNTRY HILLS VILLAGE,CHV,1990,0,0,0,
SADDLE RIDGE,SAD,1969,211,47,4.49,
SKYVIEW RANCH,SKR,1994,0,0,0,
LOWER MOUNT ROYAL,LMR,1971,3558,1777,2,
TARADALE,TAR,2012,16841,4414,3.82,
COACH HILL,COA,2011,3194,1417,2.25,
ALBERT PARK/RADISSON HEIGHTS,ALB,1977,4235,1258,3.37,
SCARBORO/ SUNALTA WEST,SSW,1968,620,165,3.76,
KINCORA,KCA,1971,0,0,0,
CHINATOWN,CHN,1998,1278,737,1.73,
SHAGANAPPI,SHG,1999,1714,804,2.13,
ROCKY RIDGE,ROC,2014,8182,2989,2.74,
CANYON MEADOWS,CAN,1978,7672,2184,3.51,
TARADALE,TAR,1983,0,0,0,
PUMP HILL,PUM,1988,1424,424,3.36,
ERIN WOODS,ERI,2012,6901,2393,2.88,
DISCOVERY RIDGE,DIS,1995,0,0,0,
RENFREW,REN,2002,5671,2859,1.98,
MCKENZIE TOWNE,MCT,1999,1532,593,2.58,
BEL-AIRE,BEL,1983,495,145,3.41,
WALDEN,WAL,2003,0,0,0,
ALTADORE,ALT,2008,8594,3981,2.16,
TARADALE,TAR,1981,0,0,0,
DISCOVERY RIDGE,DIS,1976,0,0,0,
EDGEMONT,EDG,1993,13167,3948,3.34,
BOWNESS,BOW,2009,10945,4976,2.2,
LOWER MOUNT ROYAL,LMR,1973,3284,1747,1.88,
LINCOLN PARK,LPK,1994,974,431,2.26,
CITADEL,CIT,1983,0,0,0,
BOWNESS,BOW,1978,12292,3896,3.16,
CRESTMONT,CRM,1991,0,0,0,
MCKENZIE LAKE,MCK,1969,0,0,0,
LEGACY,LEG,2005,12,6,2,
WINDSOR PARK,WND,1990,3603,2081,1.73,
LINCOLN PARK,LPK,1969,10,2,5,
BEL-AIRE,BEL,2003,495,157,3.15,
COUNTRY HILLS,COU,1995,459,128,3.59,
PALLISER,PAL,2008,3281,1665,1.97,
RUTLAND PARK,RUT,1998,2399,952,2.52,
SOUTH CALGARY,SOC,1972,3738,1444,2.59,
ABBEYDALE,ABB,1979,882,295,2.99,
RIDEAU PARK,RID,1988,646,323,2,
QUEENSLAND,QLD,1983,6007,1707,3.52,
ROSEMONT,RMT,1971,1801,501,3.59,
WOODLANDS,WOO,1983,5213,1627,3.2,
CHINATOWN,CHN,1987,1066,565,1.89,
MISSION,MIS,1981,3433,2138,1.61,
SUNALTA,SNA,1997,3041,1924,1.58,
EDGEMONT,EDG,2014,16052,5358,3,
NORTH HAVEN,NHV,2002,2490,949,2.62,
SCENIC ACRES,SCE,1995,6894,2050,3.36,
CAMBRIAN HEIGHTS,CAM,1984,2368,889,2.66,
WINDSOR PARK,WND,1984,3350,1858,1.8,
ROSSCARROCK,RCK,1974,3666,1257,2.92,
ELBOW PARK,EPK,1975,3599,1171,3.07,
KINCORA,KCA,2011,4625,1442,3.21,
LEGACY,LEG,1998,0,0,0,
QUEENSLAND,QLD,1978,4541,1261,3.6,
BONAVISTA DOWNS,BDO,1999,1107,368,3.01,
WILLOW PARK,WIL,2000,5623,2227,2.52,
THORNCLIFFE,THO,1970,8654,2073,4.17,
INGLEWOOD,ING,1968,3598,1227,2.93,
SUNALTA,SNA,1993,2879,1808,1.59,
DOWNTOWN WEST END,DNW,1969,918,357,2.57,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1995,2591,898,2.89,
